timestamp,frame_id,packet_type,throttle,brake,steering,speed,gear,rpm,drs,position_x,position_y,position_z
2025-12-28T17:53:38.668712,1296311290,0,,,,,,,,0.0,-0.0,52414.76
2025-12-28T17:53:38.671162,1296311290,6,51,0,0.0,1,-128,16127,0,,,
2025-12-28T17:53:38.771858,1329865729,0,,,,,,,,0.0,-0.0,6706657.5
2025-12-28T17:53:38.773677,1329865729,6,51,0,0.0,1,-128,16127,0,,,
2025-12-28T17:53:38.879031,1363420167,0,,,,,,,,0.0,-0.0,240479280.0
2025-12-28T17:53:38.881627,1363420167,6,51,0,0.0,1,-128,16383,0,,,
2025-12-28T17:53:38.901181,1396974605,0,,,,,,,,0.0,-0.0,31652714496.0
2025-12-28T17:53:38.901408,1396974605,6,51,0,0.0,1,-128,16383,0,,,
2025-12-28T17:53:39.072900,1430529043,0,,,,,,,,0.0,-0.0,2129960239104.0
2025-12-28T17:53:39.075350,1430529043,6,51,0,0.0,1,-128,16639,0,,,
2025-12-28T17:53:39.087153,1464083482,0,,,,,,,,0.0,-0.0,207832444043264.0
2025-12-28T17:53:39.090230,1464083482,6,51,0,0.0,1,-128,16639,0,,,
2025-12-28T17:53:39.183620,1497637920,0,,,,,,,,0.0,-0.0,8762937485295616.0
2025-12-28T17:53:39.186144,1497637920,6,51,0,0.0,1,-128,16895,0,,,
2025-12-28T17:53:39.389305,1531192359,0,,,,,,,,0.0,-0.0,5.730193839876997e+17
2025-12-28T17:53:39.391832,1531192359,6,51,0,0.0,1,-128,16895,0,,,
2025-12-28T17:53:39.404851,1564746797,0,,,,,,,,0.0,-0.0,5.212214200653526e+19
2025-12-28T17:53:39.407417,1564746797,6,51,0,0.0,1,-128,17151,0,,,
2025-12-28T17:53:39.594512,1631855674,0,,,,,,,,0.0,-0.0,2.3465070911131327e+23
2025-12-28T17:53:39.597458,1631855674,6,51,0,0.0,1,-128,17407,0,,,
2025-12-28T17:53:39.707268,1665410112,0,,,,,,,,0.0,-0.0,1.1018391267943819e+25
2025-12-28T17:53:39.710013,1665410112,6,51,0,0.0,1,-128,17407,0,,,
2025-12-28T17:53:39.807160,1698964551,0,,,,,,,,0.0,-0.0,2.2370704482539004e+27
2025-12-28T17:53:39.809675,1698964551,6,51,0,0.0,1,-128,17407,0,,,
2025-12-28T17:53:39.911829,1732518989,0,,,,,,,,0.0,-0.0,1.2140942608354707e+29
2025-12-28T17:53:39.914632,1732518989,6,51,0,0.0,1,-128,17663,0,,,
2025-12-28T17:53:40.104850,1799627865,0,,,,,,,,0.0,-0.0,6.903894885028997e+32
2025-12-28T17:53:40.107279,1799627865,6,51,0,0.0,1,-128,17663,0,,,
2025-12-28T17:53:40.207253,1833182304,0,,,,,,,,0.0,-0.0,6.530905686638879e+34
2025-12-28T17:53:40.209715,1833182304,6,51,0,0.0,1,-128,17919,0,,,
2025-12-28T17:53:40.312511,1866736742,0,,,,,,,,0.0,-0.0,5.327420172790255e+36
2025-12-28T17:53:40.314956,1866736742,6,51,0,0.0,1,-128,17919,0,,,
2025-12-28T17:53:40.412058,1900291181,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:40.414583,1900291181,6,51,0,0.0,1,-128,17919,0,,,
2025-12-28T17:53:40.616879,1967400058,0,,,,,,,,0.0,-0.0,-0.0
2025-12-28T17:53:40.619294,1967400058,6,51,0,0.0,1,-128,18175,0,,,
2025-12-28T17:53:40.719266,2000954496,0,,,,,,,,0.0,-0.0,-0.0
